"station","Depth","total_abundance","simpson_diversity","shannon_diversity"
"2017_PA_07_061",814,2805.68347122565,0.0429077503786314,0.115257717191449
"2022_TA_08_020",1409,2221.37847812335,0.285904010519395,0.542865477659388
"2022_TA_08_021",1419,1942.80256567455,0.195300416418798,0.480774568558803
"2022_TA_08_054",1561,1511.48598644703,0.415828830733379,0.876304882217058
"2022_TA_08_061",1640,1400.62255257596,0.670302603800141,1.25246984637427
"2022_TA_08_055",1563,1116.47677443608,0.47535,0.876833337990805
"2017_PA_07_008",603,914.10803939925,0.556451478550604,1.09809492224915
"2019_HM_04_042",1143,813.369602404231,0.0538359565693124,0.145880086065787
"2019_HM_04_047",1148,806.786954006364,0.200484115214713,0.384351821792436
"2019_HM_04_032",1102,714.34116649062,0.211518236871302,0.443159754631159
"2019_HM_04_051",1170,682.381942583553,0.0511153119092628,0.13746979839655
"2017_PA_07_021",634,635.050010618587,0.0134877094028389,0.0477373365176061
"2019_HM_04_059",1182,624.383115342293,0.0849456604037321,0.188820652187842
"2019_HM_04_067",1189,551.836154327419,0.0766927083333335,0.196441454603618
"2022_TA_08_011",1354,515.026722120602,0.663139329805996,1.31795215568053
"2019_HM_04_055",1173,451.140268788945,0.306147660654523,0.629861786255025
"2022_TA_08_023",1433,401.272670344318,0.169455322178712,0.446982713214585
"2019_HM_04_005",1055,395.579420540748,0.579337691365299,1.04391815366704
"2017_PA_07_013",604,363.777689148681,0.397028270874425,0.717646510565451
"2022_TA_08_028",1437,329.468200670609,0.394332939787485,0.820991977629673
"2019_HM_04_035",1104,267.142524527065,0,0
"2019_HM_04_069",1193,243.810359010754,0.0305270115978609,0.0799825257464707
"2017_PA_07_070",828,241.827653430125,0.190340380680761,0.444782602249841
"2019_HM_04_028",1100,222.019128717953,0,0
"2019_HM_04_086",1258,204.359463825801,0.106345960135527,0.271971520702103
"2017_PA_07_100",925,192.644020776957,0.602592592592593,1.18608612231456
"2019_HM_04_081",1250,192.174892171955,0.100913440626359,0.246168229131909
"2017_PA_07_088",841,192.068799914589,0.250721929675556,0.475786749712481
"2022_TA_08_037",1483,187.719573238322,0.577222222222222,1.07875368081453
"2022_TA_02_033",1329,176.663337184054,0.295934685632523,0.538686168912036
"2019_HM_04_003",1051,169.601298919815,0.349195047664254,0.76820563770207
"2019_HM_04_064",1182,168.854658467852,0.0985924586776862,0.252729762322195
"2019_HM_04_012",1072,162.534858683002,0.337407847800238,0.732160840733445
"2017_PA_07_091",906,157.37739220563,0.171493751239833,0.398785924493413
"2019_HM_04_022",1093,144.693816399427,0.6415625,1.223042590149
"2017_PA_07_094",909,142.826095650284,0.621880277725652,1.07250408097268
"2019_HM_04_072",1209,130.302058143474,0.0980975029726516,0.203560906170726
"2017_PA_07_080",838,127.240498411212,0.6409375,1.23099109463019
"2018_SA_11_117",1046,104.184583257878,0.161054994388328,0.372169568510973
"2019_HM_04_089",1296,100.425162330186,0.578823529411765,1.00290514322983
"2017_PA_07_058",773,91.5670443051229,0.50508875739645,1.0019144346976
"2017_PA_07_069",821,82.4504800944223,0.653061224489796,1.27614619791077
"2017_PA_07_045",748,78.5469262692152,0.026311111111111,0.0708105549081963
"2022_TA_02_011",1304,76.486591051774,0.392623438429506,0.581553299615363
"2017_PA_07_043",746,75.5544283365054,0.512157586949831,0.929327808395087
"2017_PA_07_025",650,72.7037167230545,0.104938271604938,0.214559155176405
"2017_PA_07_032",696,71.064085763095,0.1504,0.348174430047104
"2017_PA_07_063",817,66.1967009119363,0.609725371630134,1.12813827919091
"2019_HM_04_030",1102,60.8103618172493,0.56896551724138,0.976557080842254
"2022_TA_08_022",1429,59.6707076587904,0.520710059171598,0.858740913006287
"2017_PA_07_035",716,58.3367622917136,0.6159634506853,1.02400214649091
"2019_HM_04_015",1085,50.6204174169497,0.668649613325402,1.22432927008318
"2019_HM_04_077",1213,41.4909223566885,0.46,0.801818552543337
"2019_HM_04_020",1089,41.0415854424153,0.607438016528926,1.16476731068558
"2018_SA_11_105",968,40.8572443041672,0.324340801707057,0.680126478181544
"2018_SA_11_106",980,38.9614470374095,0.470416362308254,0.663264680725736
"2018_SA_11_114",1019,38.4916001008368,0.272211720226843,0.487272511240263
"2017_PA_07_048",760,36.3639506103967,0,0
"2019_HM_04_039",1129,36.1830666807566,0.616508400292184,1.0269794297377
"2018_SA_11_108",988,35.1074974251459,0.1024,0.245183313640668
"2019_HM_04_093",1302,34.5122423038492,0.560993425858291,0.95557352218981
"2022_TA_08_030",1476,30.5005661413419,0.611111111111111,1.01140426470735
"2022_TA_02_036",1349,28.1086619030114,0.39030612244898,0.664864224190911
"2017_PA_07_085",838,24.9098369768246,0.34,0.639031859650177
"2018_SA_11_109",990,16.1146190309074,0,0
"2018_SA_11_118",1050,10.8177093517756,0.655,1.18728322547134
"2018_SA_11_116",1025,2.63079364162011,0.48,0.673011667009257
